Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested
ORD000117,CUST2827,Blinkit,2025-10-12 08:29:30,12,Dairy,599,"Fast delivery, great service!",5,No,No
ORD000119,CUST8123,JioMart,2025-10-12 02:29:30,9,Personal Care,931,Items missing from order.,2,No,Yes
ORD000123,CUST5315,Swiggy Instamart,2025-10-12 04:29:30,27,Dairy,436,Very satisfied with the service.,5,No,No
ORD000125,CUST3927,JioMart,2025-10-12 14:29:30,30,Snacks,418,Packaging could be better.,3,No,No
ORD000127,CUST2743,JioMart,2025-10-12 01:29:30,20,Fruits & Vegetables,230,"Easy to order, loved it!",5,No,No
ORD000131,CUST3504,JioMart,2025-10-12 07:29:30,24,Beverages,734,"Horrible experience, never ordering again.",1,No,Yes
ORD000132,CUST7126,Blinkit,2025-10-12 14:29:30,50,Personal Care,1010,Packaging could be better.,3,Yes,No
ORD000133,CUST3646,Blinkit,2025-10-12 06:29:30,29,Beverages,580,Very satisfied with the service.,5,No,No
ORD000135,CUST9689,JioMart,2025-10-12 07:29:30,33,Dairy,472,"Not fresh, disappointed.",2,No,Yes
ORD000139,CUST1319,JioMart,2025-10-12 02:29:30,25,Snacks,220,Delivery person was rude.,2,No,Yes
ORD000141,CUST6947,JioMart,2025-10-12 20:29:30,15,Dairy,517,"Horrible experience, never ordering again.",1,No,Yes
ORD000142,CUST6038,JioMart,2025-10-12 21:29:30,27,Dairy,244,Good quality products.,4,No,No
ORD000145,CUST4946,Blinkit,2025-10-12 11:29:30,42,Personal Care,959,Delivery person was rude.,2,Yes,Yes
ORD000146,CUST2290,JioMart,2025-10-12 01:29:30,32,Snacks,155,"Very late delivery, not happy.",2,No,Yes
ORD000147,CUST2403,JioMart,2025-10-12 08:29:30,22,Fruits & Vegetables,131,"Very late delivery, not happy.",2,No,Yes
ORD000148,CUST8962,JioMart,2025-10-12 13:29:30,25,Grocery,330,Delivery person was rude.,2,No,Yes
ORD000149,CUST2133,Blinkit,2025-10-12 15:29:30,42,Fruits & Vegetables,617,Excellent experience!,5,Yes,No
ORD000150,CUST9727,Blinkit,2025-10-12 11:29:30,23,Dairy,403,"Not fresh, disappointed.",2,No,Yes
ORD000156,CUST9645,JioMart,2025-10-12 11:29:30,22,Grocery,583,Good quality products.,4,No,No
ORD000159,CUST9835,Blinkit,2025-10-12 07:29:30,25,Beverages,683,Excellent experience!,5,No,No
ORD000162,CUST7537,JioMart,2025-10-12 06:29:30,34,Dairy,786,"Horrible experience, never ordering again.",1,No,Yes
ORD000163,CUST7118,Swiggy Instamart,2025-10-12 17:29:30,47,Dairy,412,"Very late delivery, not happy.",2,Yes,Yes
ORD000167,CUST2982,Swiggy Instamart,2025-10-12 07:29:30,41,Snacks,145,Very satisfied with the service.,5,Yes,No
ORD000169,CUST4681,Blinkit,2025-10-12 07:29:30,42,Personal Care,1291,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000175,CUST1117,JioMart,2025-10-12 11:29:30,29,Beverages,310,"Easy to order, loved it!",5,No,No
ORD000176,CUST2163,Blinkit,2025-10-12 14:29:30,25,Personal Care,1727,Excellent experience!,5,No,No
ORD000177,CUST1964,JioMart,2025-10-12 17:29:30,33,Grocery,457,Items missing from order.,2,No,Yes
ORD000179,CUST2104,Blinkit,2025-10-12 07:29:30,23,Dairy,307,"Very late delivery, not happy.",2,No,Yes
ORD000181,CUST6413,Blinkit,2025-10-12 00:29:30,24,Personal Care,1553,Quick and reliable!,5,No,No
ORD000185,CUST5562,Blinkit,2025-10-12 11:29:30,31,Grocery,788,Very satisfied with the service.,5,No,No
ORD000189,CUST3167,Swiggy Instamart,2025-10-12 06:29:30,51,Fruits & Vegetables,68,"Not fresh, disappointed.",2,Yes,Yes
ORD000193,CUST7669,Blinkit,2025-10-12 04:29:30,14,Fruits & Vegetables,195,"Very late delivery, not happy.",2,No,Yes
ORD000194,CUST4119,Blinkit,2025-10-12 15:29:30,28,Personal Care,1017,Packaging could be better.,3,No,No
ORD000195,CUST2545,JioMart,2025-10-12 13:29:30,25,Snacks,418,Quick and reliable!,5,No,No
ORD000198,CUST6804,JioMart,2025-10-12 07:29:30,33,Fruits & Vegetables,408,Quick and reliable!,5,No,No
ORD000202,CUST1887,Swiggy Instamart,2025-10-12 23:29:30,34,Dairy,661,"Fast delivery, great service!",5,No,No
ORD000206,CUST6559,JioMart,2025-10-12 05:29:30,31,Personal Care,1634,"Horrible experience, never ordering again.",1,No,Yes
ORD000209,CUST4139,Blinkit,2025-10-12 05:29:30,32,Fruits & Vegetables,499,Very satisfied with the service.,5,No,No
ORD000214,CUST7912,Blinkit,2025-10-12 15:29:30,28,Dairy,226,Delivery person was rude.,2,No,Yes
ORD000215,CUST4006,Swiggy Instamart,2025-10-12 07:29:30,11,Grocery,585,Delivery person was rude.,2,No,Yes
ORD000223,CUST9856,Swiggy Instamart,2025-10-12 22:29:30,28,Dairy,560,"Easy to order, loved it!",5,No,No
ORD000227,CUST3724,Swiggy Instamart,2025-10-12 22:29:30,35,Snacks,76,"Easy to order, loved it!",5,No,No
ORD000231,CUST4502,JioMart,2025-10-12 03:29:30,22,Personal Care,1384,"Fast delivery, great service!",5,No,No
ORD000237,CUST7396,Swiggy Instamart,2025-10-12 22:29:30,36,Dairy,187,"Horrible experience, never ordering again.",1,No,Yes
ORD000238,CUST5345,Swiggy Instamart,2025-10-12 00:29:30,25,Fruits & Vegetables,83,"Very late delivery, not happy.",2,No,Yes
ORD000239,CUST8454,JioMart,2025-10-12 21:29:30,44,Beverages,943,Excellent experience!,5,Yes,No
ORD000240,CUST5673,JioMart,2025-10-12 03:29:30,33,Dairy,412,Delivery person was rude.,2,No,Yes
ORD000243,CUST3536,JioMart,2025-10-12 08:29:30,37,Beverages,581,Packaging could be better.,3,No,No
ORD000244,CUST4111,Swiggy Instamart,2025-10-12 03:29:30,25,Fruits & Vegetables,85,"Not fresh, disappointed.",2,No,Yes
ORD000245,CUST5861,Blinkit,2025-10-12 09:29:30,24,Snacks,426,Very satisfied with the service.,5,No,No
ORD000248,CUST9883,JioMart,2025-10-12 09:29:30,22,Grocery,431,"Fast delivery, great service!",5,No,No
ORD000250,CUST6138,JioMart,2025-10-12 23:29:30,40,Personal Care,1178,Quick and reliable!,5,No,No
ORD000254,CUST9238,Blinkit,2025-10-12 20:29:30,6,Beverages,404,Good quality products.,4,No,No
ORD000256,CUST3579,JioMart,2025-10-12 14:29:30,27,Dairy,738,"Horrible experience, never ordering again.",1,No,Yes
ORD000257,CUST1931,Swiggy Instamart,2025-10-12 13:29:30,53,Dairy,626,"Easy to order, loved it!",5,Yes,No
ORD000260,CUST4044,Blinkit,2025-10-12 08:29:30,22,Fruits & Vegetables,402,Quick and reliable!,5,No,No
ORD000262,CUST2113,Swiggy Instamart,2025-10-12 01:29:30,29,Grocery,683,Very satisfied with the service.,5,No,No
ORD000263,CUST4853,JioMart,2025-10-12 07:29:30,14,Dairy,299,Packaging could be better.,3,No,No
ORD000264,CUST7615,JioMart,2025-10-12 11:29:30,9,Personal Care,878,Items missing from order.,2,No,Yes
ORD000268,CUST2343,JioMart,2025-10-12 01:29:30,33,Grocery,535,Items missing from order.,2,No,Yes
ORD000270,CUST9565,Blinkit,2025-10-12 21:29:30,28,Snacks,400,"Not fresh, disappointed.",2,No,Yes
ORD000272,CUST5272,Swiggy Instamart,2025-10-12 11:29:30,41,Beverages,644,"Easy to order, loved it!",5,Yes,No
ORD000280,CUST8491,Blinkit,2025-10-12 12:29:30,22,Fruits & Vegetables,86,"Easy to order, loved it!",5,No,No
ORD000283,CUST1152,JioMart,2025-10-12 11:29:30,31,Personal Care,1910,Delivery person was rude.,2,No,Yes
ORD000284,CUST8508,Swiggy Instamart,2025-10-12 05:29:30,10,Fruits & Vegetables,260,"Horrible experience, never ordering again.",1,No,Yes
ORD000286,CUST2200,JioMart,2025-10-12 15:29:30,28,Personal Care,446,Packaging could be better.,3,No,No
ORD000287,CUST9808,Blinkit,2025-10-12 15:29:30,23,Grocery,1474,"Horrible experience, never ordering again.",1,No,Yes
ORD000288,CUST4492,Swiggy Instamart,2025-10-12 03:29:30,30,Snacks,126,Wrong item delivered.,1,No,Yes
ORD000294,CUST5002,Blinkit,2025-10-12 12:29:30,42,Dairy,564,Items missing from order.,2,Yes,Yes
ORD000296,CUST5669,Swiggy Instamart,2025-10-12 10:29:30,23,Fruits & Vegetables,558,Items missing from order.,2,No,Yes
ORD000297,CUST3584,Swiggy Instamart,2025-10-12 11:29:30,34,Fruits & Vegetables,219,Very satisfied with the service.,5,No,No
ORD000298,CUST8179,Swiggy Instamart,2025-10-12 05:29:30,26,Beverages,969,"Very late delivery, not happy.",2,No,Yes
ORD000299,CUST9900,Swiggy Instamart,2025-10-12 22:29:30,43,Dairy,398,Excellent experience!,5,Yes,No
ORD000300,CUST5956,Swiggy Instamart,2025-10-12 15:29:30,23,Snacks,265,"Not fresh, disappointed.",2,No,Yes
ORD000301,CUST9666,JioMart,2025-10-12 17:29:30,38,Dairy,613,Good quality products.,4,No,No
ORD000305,CUST3200,Blinkit,2025-10-12 03:29:30,36,Personal Care,1864,Very satisfied with the service.,5,No,No
ORD000308,CUST2753,JioMart,2025-10-12 04:29:30,10,Fruits & Vegetables,390,Excellent experience!,5,No,No
ORD000311,CUST5616,Blinkit,2025-10-12 17:29:30,27,Beverages,689,"Horrible experience, never ordering again.",1,No,Yes
ORD000319,CUST1832,Swiggy Instamart,2025-10-12 21:29:30,20,Snacks,460,Quick and reliable!,5,No,No
ORD000320,CUST2512,Swiggy Instamart,2025-10-12 06:29:30,36,Beverages,382,Packaging could be better.,3,No,No
ORD000321,CUST7939,Blinkit,2025-10-12 09:29:30,40,Beverages,739,Delivery person was rude.,2,No,Yes
ORD000322,CUST5533,JioMart,2025-10-12 07:29:30,38,Beverages,825,Items missing from order.,2,No,Yes
ORD000325,CUST6464,JioMart,2025-10-12 21:29:30,27,Personal Care,1586,"Horrible experience, never ordering again.",1,No,Yes
ORD000327,CUST5291,Blinkit,2025-10-12 01:29:30,10,Personal Care,551,Packaging could be better.,3,No,No
ORD000329,CUST8239,Blinkit,2025-10-12 04:29:30,46,Personal Care,587,"Easy to order, loved it!",5,Yes,No
ORD000330,CUST8007,JioMart,2025-10-12 07:29:30,39,Dairy,157,Excellent experience!,5,No,No
ORD000331,CUST1158,Blinkit,2025-10-12 21:29:30,32,Dairy,210,"Easy to order, loved it!",5,No,No
ORD000332,CUST2832,Blinkit,2025-10-12 01:29:30,18,Dairy,406,"Easy to order, loved it!",5,No,No
ORD000334,CUST3442,JioMart,2025-10-12 03:29:30,28,Fruits & Vegetables,83,Packaging could be better.,3,No,No
ORD000337,CUST7049,Blinkit,2025-10-12 19:29:30,19,Snacks,173,"Very late delivery, not happy.",2,No,Yes
ORD000338,CUST3426,Swiggy Instamart,2025-10-12 04:29:30,61,Fruits & Vegetables,95,"Easy to order, loved it!",5,Yes,No
ORD000341,CUST1685,Blinkit,2025-10-12 11:29:30,30,Dairy,317,Packaging could be better.,3,No,No
ORD000345,CUST6862,Blinkit,2025-10-12 21:29:30,30,Fruits & Vegetables,89,Wrong item delivered.,1,No,Yes
ORD000349,CUST6794,Blinkit,2025-10-12 13:29:30,34,Beverages,377,"Easy to order, loved it!",5,No,No
ORD000350,CUST7658,JioMart,2025-10-12 14:29:30,33,Personal Care,213,Delivery person was rude.,2,No,Yes
ORD000351,CUST3532,JioMart,2025-10-12 03:29:30,31,Grocery,1063,"Not fresh, disappointed.",2,No,Yes
ORD000352,CUST4878,Blinkit,2025-10-12 01:29:30,42,Personal Care,1038,Packaging could be better.,3,Yes,No
ORD000353,CUST3662,JioMart,2025-10-12 18:29:30,38,Grocery,1457,Quick and reliable!,5,No,No
ORD000360,CUST5065,Blinkit,2025-10-12 11:29:30,35,Grocery,1449,"Very late delivery, not happy.",2,No,Yes
ORD000362,CUST3608,JioMart,2025-10-12 04:29:30,33,Fruits & Vegetables,591,Delivery person was rude.,2,No,Yes
ORD000366,CUST8711,Swiggy Instamart,2025-10-12 19:29:30,14,Snacks,62,Items missing from order.,2,No,Yes
ORD000368,CUST4269,JioMart,2025-10-12 07:29:30,43,Snacks,216,Good quality products.,4,Yes,No
ORD000369,CUST8541,Swiggy Instamart,2025-10-12 09:29:30,18,Dairy,641,Very satisfied with the service.,5,No,No
ORD000371,CUST6000,Swiggy Instamart,2025-10-12 09:29:30,34,Snacks,378,"Not fresh, disappointed.",2,No,Yes
ORD000372,CUST4728,JioMart,2025-10-12 15:29:30,39,Grocery,823,"Not fresh, disappointed.",2,No,Yes
ORD000375,CUST4164,Swiggy Instamart,2025-10-12 21:29:30,11,Fruits & Vegetables,451,Delivery person was rude.,2,No,Yes
ORD000377,CUST6378,Blinkit,2025-10-12 02:29:30,28,Snacks,392,Quick and reliable!,5,No,No
ORD000381,CUST6753,Swiggy Instamart,2025-10-12 08:29:30,41,Grocery,1016,Packaging could be better.,3,Yes,No
ORD000388,CUST5279,Swiggy Instamart,2025-10-12 04:29:30,43,Snacks,204,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000390,CUST5349,Blinkit,2025-10-12 16:29:30,44,Beverages,750,Packaging could be better.,3,Yes,No
ORD000391,CUST1626,Swiggy Instamart,2025-10-12 01:29:30,36,Beverages,197,Good quality products.,4,No,No
ORD000393,CUST8119,Blinkit,2025-10-12 15:29:30,32,Personal Care,403,Good quality products.,4,No,No
ORD000396,CUST8149,Swiggy Instamart,2025-10-12 10:29:30,44,Dairy,598,"Not fresh, disappointed.",2,Yes,Yes
ORD000399,CUST7311,JioMart,2025-10-12 12:29:30,42,Personal Care,521,"Fast delivery, great service!",5,Yes,No
ORD000404,CUST1027,JioMart,2025-10-12 09:29:30,15,Personal Care,1757,Good quality products.,4,No,No
ORD000407,CUST4228,Blinkit,2025-10-12 05:29:30,35,Snacks,298,Wrong item delivered.,1,No,Yes
ORD000408,CUST6967,Swiggy Instamart,2025-10-12 22:29:30,32,Snacks,164,"Very late delivery, not happy.",2,No,Yes
ORD000410,CUST2146,Swiggy Instamart,2025-10-12 16:29:30,13,Snacks,121,Excellent experience!,5,No,No
ORD000415,CUST9308,Swiggy Instamart,2025-10-12 23:29:30,26,Fruits & Vegetables,204,Good quality products.,4,No,No
ORD000420,CUST5844,Swiggy Instamart,2025-10-12 23:29:30,31,Personal Care,1058,"Easy to order, loved it!",5,No,No
ORD000422,CUST4143,Blinkit,2025-10-12 21:29:30,33,Fruits & Vegetables,58,"Fast delivery, great service!",5,No,No
ORD000423,CUST7888,Blinkit,2025-10-12 13:29:30,42,Snacks,188,Quick and reliable!,5,Yes,No
ORD000424,CUST7211,Blinkit,2025-10-12 18:29:30,27,Beverages,789,Good quality products.,4,No,No
ORD000425,CUST3851,Blinkit,2025-10-12 23:29:30,37,Snacks,210,Delivery person was rude.,2,No,Yes
ORD000427,CUST7653,Swiggy Instamart,2025-10-12 19:29:30,26,Grocery,1169,"Not fresh, disappointed.",2,No,Yes
ORD000428,CUST9977,Blinkit,2025-10-12 03:29:30,34,Fruits & Vegetables,135,Items missing from order.,2,No,Yes
ORD000432,CUST4443,JioMart,2025-10-12 23:29:30,11,Dairy,299,Delivery person was rude.,2,No,Yes
ORD000440,CUST8752,JioMart,2025-10-12 12:29:30,32,Dairy,688,"Not fresh, disappointed.",2,No,Yes
ORD000442,CUST2389,JioMart,2025-10-12 18:29:30,47,Fruits & Vegetables,467,"Easy to order, loved it!",5,Yes,No
ORD000444,CUST9445,Blinkit,2025-10-12 16:29:30,21,Personal Care,1017,"Fast delivery, great service!",5,No,No
ORD000446,CUST2530,Blinkit,2025-10-12 22:29:30,19,Personal Care,323,Good quality products.,4,No,No
ORD000447,CUST4848,Swiggy Instamart,2025-10-12 17:29:30,30,Grocery,241,Quick and reliable!,5,No,No
ORD000452,CUST1400,Blinkit,2025-10-12 17:29:30,30,Snacks,292,Excellent experience!,5,No,No
ORD000456,CUST2193,JioMart,2025-10-12 21:29:30,24,Snacks,292,Good quality products.,4,No,No
ORD000457,CUST8461,Swiggy Instamart,2025-10-12 04:29:30,18,Dairy,251,"Fast delivery, great service!",5,No,No
ORD000458,CUST7790,Swiggy Instamart,2025-10-12 13:29:30,37,Beverages,922,Good quality products.,4,No,No
ORD000465,CUST1090,JioMart,2025-10-12 19:29:30,33,Personal Care,133,Packaging could be better.,3,No,No
ORD000468,CUST4585,Swiggy Instamart,2025-10-12 21:29:30,18,Personal Care,922,"Horrible experience, never ordering again.",1,No,Yes
ORD000473,CUST5082,JioMart,2025-10-12 01:29:30,46,Beverages,165,Items missing from order.,2,Yes,Yes
ORD000474,CUST2988,Blinkit,2025-10-12 14:29:30,41,Grocery,716,Excellent experience!,5,Yes,No
ORD000475,CUST8478,Swiggy Instamart,2025-10-12 13:29:30,33,Grocery,963,Wrong item delivered.,1,No,Yes
ORD000480,CUST8251,JioMart,2025-10-12 16:29:30,32,Snacks,153,"Horrible experience, never ordering again.",1,No,Yes
ORD000482,CUST7991,Swiggy Instamart,2025-10-12 04:29:30,38,Snacks,245,Good quality products.,4,No,No
ORD000484,CUST8305,Swiggy Instamart,2025-10-12 23:29:30,42,Grocery,1279,Packaging could be better.,3,Yes,No
ORD000488,CUST5246,Blinkit,2025-10-12 19:29:30,46,Grocery,699,Very satisfied with the service.,5,Yes,No
ORD000489,CUST5050,JioMart,2025-10-12 10:29:30,43,Grocery,524,Good quality products.,4,Yes,No
ORD000492,CUST8939,Swiggy Instamart,2025-10-12 11:29:30,11,Personal Care,410,"Very late delivery, not happy.",2,No,Yes
ORD000506,CUST4788,Blinkit,2025-10-12 08:29:30,11,Beverages,406,Delivery person was rude.,2,No,Yes
ORD000508,CUST3503,JioMart,2025-10-12 18:29:30,31,Fruits & Vegetables,294,"Very late delivery, not happy.",2,No,Yes
ORD000509,CUST4505,Swiggy Instamart,2025-10-12 03:29:30,41,Snacks,230,"Very late delivery, not happy.",2,Yes,Yes
ORD000510,CUST2052,Blinkit,2025-10-12 04:29:30,15,Snacks,281,"Horrible experience, never ordering again.",1,No,Yes
ORD000511,CUST7797,JioMart,2025-10-12 13:29:30,42,Beverages,198,Excellent experience!,5,Yes,No
ORD000514,CUST9890,Blinkit,2025-10-12 06:29:30,17,Dairy,289,Delivery person was rude.,2,No,Yes
ORD000516,CUST7812,Blinkit,2025-10-12 01:29:30,11,Snacks,251,Quick and reliable!,5,No,No
ORD000518,CUST4388,JioMart,2025-10-12 13:29:30,31,Personal Care,1241,"Easy to order, loved it!",5,No,No
ORD000520,CUST7381,JioMart,2025-10-12 17:29:30,16,Beverages,623,"Horrible experience, never ordering again.",1,No,Yes
ORD000522,CUST7232,Blinkit,2025-10-12 21:29:30,13,Dairy,643,"Easy to order, loved it!",5,No,No
ORD000524,CUST1096,JioMart,2025-10-12 11:29:30,33,Dairy,271,Good quality products.,4,No,No
ORD000526,CUST5892,Blinkit,2025-10-12 20:29:30,15,Dairy,542,Quick and reliable!,5,No,No
ORD000528,CUST7865,Swiggy Instamart,2025-10-12 03:29:30,31,Snacks,335,Good quality products.,4,No,No
ORD000529,CUST9818,Swiggy Instamart,2025-10-12 17:29:30,24,Grocery,810,"Very late delivery, not happy.",2,No,Yes
ORD000534,CUST5471,JioMart,2025-10-12 07:29:30,27,Fruits & Vegetables,386,Items missing from order.,2,No,Yes
ORD000535,CUST8140,Blinkit,2025-10-12 17:29:30,29,Personal Care,511,Delivery person was rude.,2,No,Yes
ORD000541,CUST3704,Swiggy Instamart,2025-10-12 13:29:30,9,Fruits & Vegetables,186,Packaging could be better.,3,No,No
ORD000542,CUST8657,Swiggy Instamart,2025-10-12 04:29:30,35,Fruits & Vegetables,636,Very satisfied with the service.,5,No,No
ORD000544,CUST9751,Blinkit,2025-10-12 07:29:30,35,Personal Care,1575,Items missing from order.,2,No,Yes
ORD000545,CUST1441,JioMart,2025-10-12 02:29:30,27,Snacks,93,Packaging could be better.,3,No,No
ORD000548,CUST2375,Swiggy Instamart,2025-10-12 17:29:30,39,Snacks,129,Very satisfied with the service.,5,No,No
ORD000555,CUST7211,Blinkit,2025-10-12 06:29:30,16,Snacks,101,"Fast delivery, great service!",5,No,No
ORD000556,CUST6363,Swiggy Instamart,2025-10-12 19:29:30,27,Personal Care,504,Items missing from order.,2,No,Yes
ORD000561,CUST7211,JioMart,2025-10-12 19:29:30,35,Personal Care,1192,Excellent experience!,5,No,No
ORD000566,CUST8705,Swiggy Instamart,2025-10-12 01:29:30,25,Snacks,267,Quick and reliable!,5,No,No
ORD000570,CUST6733,Blinkit,2025-10-12 07:29:30,21,Beverages,912,Items missing from order.,2,No,Yes
ORD000571,CUST4673,JioMart,2025-10-12 17:29:30,21,Dairy,703,"Fast delivery, great service!",5,No,No
ORD000573,CUST1659,JioMart,2025-10-12 22:29:30,21,Grocery,1428,Wrong item delivered.,1,No,Yes
ORD000575,CUST5051,Swiggy Instamart,2025-10-12 16:29:30,40,Dairy,543,Wrong item delivered.,1,No,Yes
ORD000579,CUST4908,Blinkit,2025-10-12 02:29:30,16,Fruits & Vegetables,469,Quick and reliable!,5,No,No
ORD000581,CUST8758,Blinkit,2025-10-12 16:29:30,25,Beverages,164,"Not fresh, disappointed.",2,No,Yes
ORD000583,CUST4571,JioMart,2025-10-12 04:29:30,29,Beverages,823,Good quality products.,4,No,No
